Stock_Index,Stock_Name,Weeks_Listed,First_Listed,Last_Listed
2818,Hypercom Corp,36,2006-05-05,2011-08-05
6346,DASAN Zhone Solutions Inc.,36,2001-06-01,2004-01-16
2013,Equity Corporation International,36,1997-07-04,1999-01-15
4531,PMA Capital Cp A,36,2002-01-04,2002-09-06
7128,Madison Square Garden Entertainment Corp Class A,36,2020-04-24,2020-12-25
4825,"Republic First Bancorp, Inc.",37,2016-12-23,2018-06-08
4943,"Rykoff-Sexton, Inc.",37,1997-03-14,1997-12-19
4244,"Oplink Communications, Inc.",37,2000-11-03,2011-03-04
3572,Mattersight Corporation,37,2000-02-18,2001-02-09
6286,"WorldGate Communications, Inc.",37,1999-07-02,2000-09-22
3143,"Justin Industries, Inc.",37,1993-01-22,2000-07-28
4937,Rust International Inc.,37,1992-01-17,1994-06-24
7154,"BioXcel Therapeutics, Inc.",37,2020-04-17,2020-12-25
1635,"DBT Online, Inc.",37,1997-09-19,1999-09-17
4205,Omega Protein Corporation,37,2015-11-20,2017-10-13
1717,"DigitalThink, Inc.",37,2000-04-07,2001-07-27
1270,City Bank,37,2006-07-28,2007-07-06
2497,Gold Resource Corporation,37,2012-09-28,2013-06-21
3533,"Mariner Post-Acute Network, Inc.",37,1998-01-02,1998-09-11
2489,GMH Communities Trust,37,2005-12-02,2006-12-08
221,"Alliance HealthCare Services, Inc.",37,2002-07-05,2008-10-03
3866,MTC Technologies Inc,37,2004-12-10,2005-11-25
3796,MModal Inc.,37,2011-12-02,2012-08-10
900,"Broadwind Energy, Inc.",37,2009-06-26,2010-03-05
3416,LodgeNet Interactive Corp.,37,2007-01-26,2007-10-26
4592,President Casinos Inc Com New,37,1993-07-02,1994-03-25
4671,Purchasepro Com Com New,37,2000-07-07,2001-03-16
1829,"E2open, Inc.",38,2013-09-27,2014-07-11
4250,Optical Communication Prods Cl A,38,2000-12-01,2001-08-17
4382,Payless Cashways Inc Com Par $0.01,38,1993-11-05,1994-07-22
442,"Applied Energetics, Inc.",38,2005-10-07,2006-08-04
4938,Rutherford-Moran Oil Corporation,38,1997-07-04,1998-07-03
6934,"Funko, Inc. Class A",38,2019-05-03,2020-01-31
7120,DraftKings Inc Class A,38,2020-04-10,2020-12-25
7158,Compugen Ltd.,38,2020-04-10,2020-12-25
